127.0.0.1 - - [13/Jul/2026:10:59:41 +0530] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:00:04 +0530] "GET /smart-boys-fashion/ HTTP/1.1" 200 11224
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:00:04 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:00:04 +0530] "GET /smart-boys-fashion/css/style.css HTTP/1.1" 200 5335
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:00:05 +0530] "GET /smart-boys-fashion/images/products/hoodie_navy.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:00:05 +0530] "GET /smart-boys-fashion/images/products/track_grey.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:00:05 +0530] "GET /smart-boys-fashion/images/products/shirt_white.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:00:05 +0530] "GET /smart-boys-fashion/images/products/tshirt_blue.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:00:05 +0530] "GET /smart-boys-fashion/images/products/shorts_denim.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:00:05 +0530] "GET /smart-boys-fashion/images/products/kurtha_maroon.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:00:05 +0530] "GET /smart-boys-fashion/images/products/jersey_red.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:00:05 +0530] "GET /smart-boys-fashion/images/products/trouser_black.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:00:21 +0530] "GET /smart-boys-fashion/login HTTP/1.1" 200 3161
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:00:40 +0530] "GET /smart-boys-fashion/register HTTP/1.1" 200 3606
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:01:24 +0530] "POST /smart-boys-fashion/register HTTP/1.1" 200 3239
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:01:24 +0530] "GET /smart-boys-fashion/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:01:50 +0530] "POST /smart-boys-fashion/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:01:50 +0530] "GET /smart-boys-fashion/ HTTP/1.1" 200 11725
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:01:51 +0530] "GET /smart-boys-fashion/images/products/shirt_white.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:01:51 +0530] "GET /smart-boys-fashion/images/products/trouser_black.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:01:51 +0530] "GET /smart-boys-fashion/images/products/shorts_denim.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:01:51 +0530] "GET /smart-boys-fashion/images/products/kurtha_maroon.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:01:51 +0530] "GET /smart-boys-fashion/images/products/tshirt_blue.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:01:51 +0530] "GET /smart-boys-fashion/images/products/jersey_red.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:01:51 +0530] "GET /smart-boys-fashion/images/products/track_grey.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:01:51 +0530] "GET /smart-boys-fashion/images/products/hoodie_navy.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:03:28 +0530] "GET /smart-boys-fashion/product?id=1 HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:03:28 +0530] "GET /smart-boys-fashion/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:03:28 +0530] "GET /smart-boys-fashion/images/products/tshirt_blue.jpg HTTP/1.1" 404 456
0:0:0:0:0:0:0:1 - - [13/Jul/2026:11:04:19 +0530] "GET /smart-boys-fashion/sizeAssistant HTTP/1.1" 200 4065
